verdict,text,part
"ע""ס 19265-04-10",הנאשם הורשע על פי הודייתו בעבירות המפורטות בכתב האישום. הצדדים הגיעו הסכמה לעניין רכיבי הענישה. ההסדר הוא סביר ובכוונתי לכבדו.,גזר דין
"ע""ס 19265-04-10","3 חודשי מאסר אותם לא ירצה הנאשם אלא אם כן יבצע תוך שנתיים מהיום עבירה לפי חוק רישוי עסקים, התשכ""ט 1968.",לפיכך הנני משית על הנאשם את העונשים הבאים:
"ע""ס 19265-04-10","הנאשם ישלם קנס בסך של 30,000 ₪, או 90 ימי מאסר תמורתו, שישולם ב-4  תשלומים חודשיים, שווים ורצופים, הראשון שבהם עד ליום 08.06.11. כל יתר התשלומים ישולמו ב-8 בכל חודש לאחריו. היה ואחד התשלומים לא ישולם במועד אזי יעמוד מלוא סכום הקנס לפירעון מידי.",לפיכך הנני משית על הנאשם את העונשים הבאים:
"ע""ס 19265-04-10","הנני מחלט את ההתחייבות הכספית שעליה חתם הנאשם בתיק עמ""ק 40227-08 של בית משפט השלום ברמלה מיום 07.12.08 בסך של 20,000 ₪ . הסכום הנ""ל ישולם ב-4 תשלומים חודשיים, שווים ורצופים, הראשון שבהם עד ליום 08.06.11. כל יתר התשלומים ישולמו ב-8 בכל חודש לאחריו. היה ואחד התשלומים לא ישולם במועד אזי יעמוד מלוא סכום ההתחייבות לפירעון מידי.",לפיכך הנני משית על הנאשם את העונשים הבאים:
"ע""ס 19265-04-10","הנאשם יחתום על התחייבות כספית בסך של 40,000  ₪, להימנע במשך שנתיים מהיום מביצוע עבירה לפי חוק רישוי העסקים והתקנות שלפיו. ההתחייבות תיחתם עוד היום במזכירות בית משפט. היה ולא תיחתם ההתחייבות אזי ייאסר הנאשם למשך 80 ימים.",לפיכך הנני משית על הנאשם את העונשים הבאים:
"ע""ס 19265-04-10","ניתנה והודעה היום ד' אייר תשע""א, 08/05/2011 במעמד הנוכחים.   ",<#5#>
"ע""ס 19265-04-10",הישאם אבו שחאדה 54678313,<#5#>
"ע""ס 19265-04-10",הוקלד על ידי: עינת אדטו,54678313
"ע""ס 19265-04-10",נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,54678313
"ע""ס 19265-04-10","בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",54678313
