verdict,text,part
עא_1784-06,כבוד הרשם יגאל מרזל,"רע""א  1784/06 - א'"
עא_1784-06,"1. צפון העיר בע""מ(בפירוק)",נ  ג  ד
עא_1784-06,"2. דפוס שיווק ישיר בשרון בע""מ",המשיבים:
עא_1784-06,3. כונס הנסכים הרשמי,המשיבים:
עא_1784-06,מועד הפקדת הערבות מוארך כמבוקש עד ליום 22.3.06. בהעדר הפקדה ידחה ההליך ללא התראה נוספת.,החלטה
עא_1784-06,"ניתנה היום, ט""ו אדר תשס""ו (15.3.2006).",החלטה
עא_1784-06,העותק כפוף לשינויי עריכה וניסוח.   06017840_L01.doc,_________________________
עא_1784-06,"מרכז מידע, טל' 02-6593666 ; אתר אינטרנט,   HYPERLINK ""http://www.court.gov.il/"" www.court.gov.il",_________________________
עא_1784-06,נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,_________________________
עא_1784-06,"רעא 1784/06	 שלמה זייתוני נ' צפון העיר בע""מבפירוק",_________________________
עא_1784-06,PAGE  \* MERGEFORMAT 1,_________________________
עא_1784-06,"נבו הוצאה לאור בע""מ  nevo.co.il   המאגר המשפטי הישראלי",_________________________
עא_1784-06,FILENAME \p  \* MERGEFORMAT T:\-00000-ps-final-0000000\elyon\0-fainal\001\20\InPathElyon\06017840-l01.doc,_________________________
