verdict,text,part
ת.פ 3154∕04,בבית המשפט המחוזי בחיפה,בתי המשפט 
ת.פ 3154∕04,בבית המשפט המחוזי בחיפה,בתי המשפט 
ת.פ 3154∕04,ח. 13/03,בתי המשפט 
ת.פ 3154∕04,פ. 3154/04,בתי המשפט 
ת.פ 3154∕04,ח. 13/03,בתי המשפט 
ת.פ 3154∕04,פ. 3154/04,בתי המשפט 
ת.פ 3154∕04,בפני הרכב כב' השופטים:,בתי המשפט 
ת.פ 3154∕04,"ברלינר - ס. נשיא [אב""ד]",בתי המשפט 
ת.פ 3154∕04,בר-זיו,בתי המשפט 
ת.פ 3154∕04,          - נ ג ד - ,המאשימה
ת.פ 3154∕04,          - נ ג ד - ,המאשימה
ת.פ 3154∕04,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א)(, ג, 13, 19א",חקיקה שאוזכרה: 
ת.פ 3154∕04,"חוק העונשין, תשל""ז-1977: סע'  29, 58, 144(א), (ב), 333, 335",חקיקה שאוזכרה: 
ת.פ 3154∕04,"	הנאשם הורשע, לפי הודייתו ובמסגרת הסדר טיעון, בעבירות המיוחסות לו בכתב האישום המתוקן בתיק פ.ח. 13/03 - חבלה חמורה בנסיבות מחמירות ועבירות בנשק, וכן במיוחס לו באישומים מס' 1, 9, 10 ו - 11 בכתב האישום המתוקן שבת""פ 3154/04 - עבירות סמים (תיווך, סחר והחזקה שלא לשימוש עצמי).",. 
ת.פ 3154∕04,"על פי הסדר הטיעון יוטל על הנאשם עונש מאסר בפועל שלא יפחת מ - 4 שנות מאסר ולא יעלה על  6 שנות מאסר. בנוסף לכך, כך הוסכם, יופעלו נגדו שני עונשי מאסר על תנאי, האחד של 24 חודשים והשני של 9 חודשים, כך שהתביעה תטען כי מוצדק להפעיל במצטבר את המאסרים המותנים לתקופה כוללת של 28 וחצי חודשים, ואילו הנאשם יטען כי ראוי להפעילם בחופף.",. 
ת.פ 3154∕04,עוד הוסכם כי בחישוב תקופת המאסר ינוכו הימים בהם היה הנאשם עצור בגין שני האישומים: מיום 21.10.03 עד ליום 22.7.04 וכן מיום 22.9.04 עד היום.,. 
